@relation datosFict2

@attribute age integer
@attribute c2 numeric
@attribute c3 numeric
@attribute selector1{0,1,2,3,4,5}
@attribute selector2{1,2}

@data
47, 165.33, 43.89, 4, 2
54, 176.68, 30.61, 2, 2
53, 157.17, 47.63, 5, 2
49, 139.10, 20.73, 1, 1
76, 139.49, 57.54, 5, 2
33, 141.75, 47.74, 4, 1
75, 149.16, 33.46, 3, 2
47, 168.36, 30.17, 2, 2
66, 146.40, 34.65, 2, 2
80, 148.48, 26.76, 4, 2
69, 87.44, 11.91, 1, 2
56, 116.52, 9.07, 3, 2
72, 97.35, 47.08, 4, 2
45, 156.35, 52.19, 2, 2
53, 165.96, 31.01, 3, 2
29, 161.58, 38.61, 2, 2
40, 177.44, 36.17, 1, 2
38, 125.40, 15.08, 4, 1
77, 168.34, 33.62, 5, 2
35, 169.05, 37.80, 5, 2
23, 146.18, 51.25, 2, 2
72, 144.77, 49.35, 0, 2
43, 132.53, 17.98, 2, 2
24, 96.02, 17.09, 2, 2
68, 149.67, 35.22, 0, 1
46, 93.88, 41.00, 3, 1
34, 150.76, 37.02, 3, 1
34, 124.31, 3.46, 4, 1
32, 139.89, 38.98, 1, 1
69, 158.24, 35.16, 5, 2
66, 131.30, 22.63, 2, 2
80, 124.59, 35.63, 2, 2
31, 130.15, 44.81, 0, 2
48, 128.24, 11.13, 1, 2
23, 175.73, 3.14, 2, 2
67, 168.38, 5.19, 2, 2
24, 133.42, 23.29, 1, 2
43, 164.82, 21.89, 2, 2
47, 122.21, 20.29, 2, 2
81, 185.86, 32.70, 3, 2
64, 149.11, 25.16, 0, 2
71, 112.51, 7.97, 3, 2
52, 130.81, 3.54, 4, 2
34, 103.69, 6.93, 4, 1
32, 170.88, 25.86, 4, 1
55, 119.47, 38.21, 5, 2
51, 76.29, 36.99, 2, 2
56, 174.18, 18.43, 4, 2
30, 82.41, 41.06, 2, 2
70, 120.15, 23.67, 5, 1
69, 152.56, 2.40, 3, 2
65, 172.05, 23.11, 4, 2
79, 86.81, 16.78, 1, 2
80, 172.59, 16.05, 5, 2
35, 163.78, 36.91, 3, 1
33, 86.23, 25.75, 0, 2
20, 96.39, 16.67, 3, 1
57, 133.15, 34.67, 0, 2
68, 85.90, 28.78, 5, 2
39, 138.79, 6.40, 3, 1
35, 144.83, 57.51, 1, 2
22, 80.68, 22.67, 4, 1
26, 127.82, 34.63, 2, 2
56, 181.36, 13.69, 4, 2
62, 139.82, 21.41, 3, 2
44, 185.48, 6.40, 4, 2
69, 200.61, 0.04, 3, 2
59, 117.69, 5.76, 0, 2
67, 134.21, 35.25, 3, 2
56, 93.29, 52.55, 3, 2
19, 127.57, 26.43, 4, 1
80, 149.63, 40.62, 0, 2
46, 166.84, 38.22, 3, 2
75, 118.43, 10.86, 2, 2
27, 125.59, 48.87, 2, 2
78, 108.30, 51.91, 2, 2
27, 104.65, 57.99, 1, 2
46, 103.85, 1.43, 5, 2
78, 91.15, 25.98, 1, 2
72, 125.66, 19.98, 2, 2
24, 146.62, 12.78, 5, 1
67, 127.90, 57.84, 4, 2
58, 159.78, 5.43, 4, 2
43, 130.24, 21.98, 3, 2
33, 152.20, 16.03, 1, 2
31, 23.30, 9.89, 5, 1
73, 180.24, 8.52, 0, 2
76, 125.12, 9.27, 1, 2
33, 135.79, 12.22, 1, 2
35, 106.74, 44.18, 2, 2
35, 163.06, 45.50, 4, 1
24, 205.06, 1.86, 4, 1
76, 72.19, 55.96, 2, 2
50, 178.30, 22.51, 3, 2
45, 140.02, 43.75, 5, 2
76, 208.68, 34.09, 0, 2
46, 102.16, 10.94, 1, 2
51, 128.56, 54.75, 1, 2
21, 128.53, 0.88, 4, 1
51, 129.89, 3.64, 4, 2
78, 162.42, 8.50, 2, 1
41, 195.43, 18.59, 1, 2
73, 129.39, 51.68, 4, 2
21, 135.00, 52.73, 0, 2
49, 110.76, 33.30, 2, 2
31, 112.41, 26.55, 1, 2
62, 131.34, 10.22, 3, 2
34, 125.70, 56.50, 1, 2
23, 118.00, 2.59, 5, 1
40, 60.33, 52.52, 1, 2
71, 84.87, 27.22, 0, 2
21, 98.55, 48.07, 4, 1
83, 80.05, 6.13, 4, 2
67, 120.76, 51.54, 0, 2
29, 124.90, 41.20, 0, 2
77, 98.11, 49.43, 2, 2
79, 168.20, 36.26, 1, 2
71, 100.54, 23.04, 2, 2
71, 110.69, 5.90, 3, 2
43, 114.65, 0.67, 4, 1
77, 70.08, 48.65, 3, 2
35, 164.33, 45.90, 1, 2
51, 141.79, 2.26, 3, 2
20, 57.90, 4.13, 3, 1
27, 188.59, 13.94, 2, 1
40, 137.67, 39.64, 2, 2
68, 101.07, 50.70, 0, 2
41, 130.67, 30.79, 4, 2
62, 147.06, 24.59, 1, 2
26, 162.44, 40.37, 0, 2
42, 179.44, 12.71, 1, 2
39, 134.92, 22.72, 1, 2
55, 119.67, 1.16, 3, 2
49, 65.37, 13.46, 1, 1
20, 86.45, 20.38, 0, 2
39, 146.60, 31.24, 2, 2
60, 91.88, 7.64, 3, 2
51, 130.00, 17.42, 3, 1
35, 131.05, 21.08, 1, 2
25, 142.33, 12.68, 4, 1
22, 126.39, 37.87, 2, 2
34, 164.56, 26.07, 3, 1
44, 157.78, 23.94, 0, 2
79, 140.92, 41.59, 5, 2
30, 128.38, 56.81, 0, 2
30, 115.09, 7.37, 2, 1
19, 137.48, 57.06, 5, 1
71, 164.31, 15.60, 3, 2
45, 132.87, 24.23, 4, 2
69, 98.18, 25.25, 0, 2
72, 93.79, 16.22, 2, 2
40, 112.58, 25.79, 4, 1
74, 134.07, 57.84, 1, 2
26, 117.85, 4.36, 4, 1
26, 140.92, 41.44, 4, 1
24, 102.53, 7.02, 1, 2
25, 147.68, 48.93, 1, 2
32, 132.13, 37.00, 2, 2
31, 190.36, 25.69, 1, 1
35, 95.94, 22.81, 4, 1
41, 70.71, 54.78, 3, 2
29, 156.86, 16.22, 1, 2
29, 122.23, 51.46, 0, 2
29, 76.15, 24.34, 4, 1
25, 141.81, 5.54, 1, 1
70, 96.23, 27.12, 1, 2
19, 159.19, 38.30, 2, 2
62, 160.13, 27.59, 2, 2
82, 124.87, 7.56, 1, 2
66, 109.22, 37.73, 2, 2
47, 82.94, 31.45, 4, 2
67, 130.97, 42.38, 3, 2
58, 131.24, 30.19, 5, 2
35, 122.92, 1.71, 4, 2
67, 103.08, 41.47, 3, 2
80, 127.82, 16.72, 3, 2
26, 181.35, 4.90, 2, 2
57, 86.95, 57.95, 2, 2
66, 134.45, 23.34, 5, 2
47, 112.21, 37.04, 5, 2
77, 146.68, 18.65, 2, 2
47, 142.76, 42.47, 1, 2
50, 193.18, 6.08, 1, 2
50, 113.66, 13.39, 3, 2
40, 135.63, 49.50, 2, 2
82, 106.12, 58.42, 3, 2
29, 158.30, 39.86, 0, 2
63, 104.02, 16.51, 2, 2
46, 170.36, 19.91, 3, 2
63, 158.57, 23.89, 1, 2
31, 171.89, 50.82, 5, 1
28, 117.42, 20.25, 2, 2
76, 137.17, 14.94, 1, 2
50, 173.56, 57.94, 5, 2
71, 133.61, 55.98, 0, 2
63, 121.41, 5.21, 2, 2
57, 109.19, 21.95, 4, 2
29, 103.09, 27.10, 2, 2
42, 159.13, 55.76, 0, 2
30, 42.23, 7.51, 4, 1
64, 119.02, 19.17, 1, 2
21, 230.17, 31.67, 2, 2
60, 144.58, 7.84, 2, 1
61, 174.23, 28.98, 1, 2
57, 70.50, 34.45, 0, 2
63, 90.75, 5.59, 3, 2
49, 120.11, 22.25, 4, 2
82, 107.30, 51.53, 1, 2
24, 137.84, 12.01, 0, 2
54, 179.98, 6.13, 3, 2
47, 149.80, 23.68, 2, 2
26, 136.06, 17.20, 2, 2
79, 160.62, 18.32, 4, 2
57, 130.91, 13.28, 2, 2
80, 140.62, 25.14, 5, 2
48, 126.01, 41.39, 2, 2
64, 181.71, 52.19, 0, 1
37, 194.83, 20.15, 1, 2
73, 134.83, 14.17, 5, 2
38, 152.71, 56.11, 1, 1
26, 187.83, 53.35, 2, 2
51, 137.21, 40.38, 3, 2
53, 99.05, 28.59, 5, 2
44, 128.33, 19.00, 4, 2
34, 103.19, 24.04, 1, 2
31, 95.88, 24.14, 1, 2
70, 123.32, 39.03, 1, 2
66, 106.89, 49.01, 1, 2
22, 140.15, 7.47, 1, 2
74, 104.88, 5.67, 4, 2
73, 130.65, 4.82, 3, 2
38, 117.06, 17.58, 2, 1
56, 137.39, 43.21, 1, 2
53, 124.03, 20.96, 3, 2
66, 136.49, 43.82, 4, 2
71, 96.85, 2.25, 2, 2
32, 132.60, 23.83, 5, 1
65, 150.38, 37.86, 2, 1
76, 76.14, 26.89, 4, 2
41, 83.48, 27.75, 0, 2
52, 114.72, 31.34, 0, 1
26, 156.01, 56.00, 0, 2
35, 171.01, 27.66, 5, 1
20, 190.06, 32.77, 3, 1
77, 172.40, 37.57, 0, 2
59, 53.10, 6.82, 0, 2
22, 108.97, 34.84, 5, 1
18, 109.92, 55.12, 5, 1
67, 143.35, 50.17, 4, 2
53, 102.48, 11.79, 2, 2
51, 129.15, 39.59, 1, 2
46, 129.04, 32.95, 0, 2
22, 130.51, 56.53, 0, 2
23, 122.41, 2.82, 1, 2
30, 126.71, 18.80, 0, 2
69, 153.42, 58.05, 5, 2
63, 115.57, 44.47, 1, 2
72, 145.61, 12.89, 1, 2
74, 140.66, 22.98, 0, 2
27, 94.98, 35.23, 5, 1
47, 103.00, 27.01, 0, 2
22, 136.80, 29.51, 4, 1
44, 165.20, 29.05, 1, 2
78, 141.03, 10.05, 4, 2
40, 136.76, 3.71, 1, 2
26, 141.00, 6.87, 1, 2
20, 155.96, 57.53, 2, 2
56, 107.90, 58.83, 3, 2
54, 178.05, 30.87, 5, 1
44, 107.10, 44.73, 2, 2
20, 151.45, 31.79, 4, 1
73, 125.47, 6.03, 4, 2
60, 145.24, 34.36, 4, 2
66, 96.97, 31.19, 2, 2
20, 163.89, 35.13, 2, 2
24, 71.23, 22.20, 2, 2
37, 143.66, 20.06, 4, 1
45, 176.45, 48.16, 2, 2
48, 126.13, 32.40, 3, 2
35, 136.79, 15.34, 1, 2
68, 169.34, 11.53, 2, 2
32, 163.01, 58.67, 3, 2
56, 124.19, 5.23, 3, 2
22, 120.58, 0.14, 5, 1
19, 119.60, 23.10, 3, 1
40, 171.28, 55.40, 1, 2
48, 166.15, 5.06, 2, 2
70, 176.21, 2.10, 0, 2
59, 120.30, 9.63, 0, 2
30, 155.54, 43.20, 4, 1
36, 97.35, 31.05, 1, 2
48, 36.32, 15.25, 1, 2
79, 137.79, 56.74, 4, 2
55, 107.48, 29.17, 1, 2
59, 84.38, 10.60, 2, 2
27, 147.06, 49.28, 4, 1
81, 167.11, 12.31, 4, 1
62, 135.60, 28.88, 2, 2
61, 91.78, 38.12, 1, 2
79, 146.03, 58.56, 2, 1
45, 120.68, 10.86, 5, 2
62, 104.20, 38.11, 4, 2
59, 187.23, 16.51, 2, 2
38, 147.88, 43.15, 2, 2
54, 106.96, 56.24, 2, 2
55, 172.59, 49.53, 2, 2
50, 157.70, 48.05, 0, 2
37, 128.54, 57.77, 4, 1
77, 156.70, 5.64, 1, 2
33, 106.26, 43.86, 2, 2
55, 166.61, 19.03, 4, 2
66, 102.61, 54.59, 2, 2
47, 67.42, 9.19, 3, 2
64, 110.54, 7.77, 4, 2
49, 97.17, 35.66, 3, 2
38, 111.93, 3.78, 3, 1
62, 135.82, 28.69, 0, 2
60, 211.91, 16.12, 1, 2
28, 173.16, 51.17, 3, 1
31, 132.20, 37.58, 4, 1
82, 141.08, 17.79, 0, 2
56, 116.86, 15.02, 4, 2
66, 84.76, 9.30, 1, 2
65, 124.09, 23.01, 4, 2
75, 130.92, 22.98, 2, 2
37, 162.80, 55.95, 3, 1
49, 144.36, 16.09, 2, 2
74, 129.91, 0.57, 2, 2
77, 126.05, 23.30, 3, 2
41, 113.06, 41.29, 2, 2
20, 176.28, 1.36, 2, 2
62, 134.04, 25.50, 5, 2
71, 124.13, 0.42, 1, 2
69, 117.03, 42.78, 2, 2
56, 153.84, 21.25, 4, 2
36, 212.94, 7.73, 2, 2
27, 102.58, 43.57, 4, 1
76, 168.93, 20.48, 3, 2
18, 162.11, 16.19, 3, 1
75, 103.48, 41.73, 1, 1
66, 138.48, 56.54, 1, 2
79, 109.64, 12.40, 2, 2
27, 133.86, 23.99, 3, 2
32, 174.64, 15.57, 3, 1
80, 152.70, 40.26, 2, 2
21, 133.80, 14.02, 0, 2
72, 81.93, 22.51, 4, 2
47, 142.91, 50.21, 2, 2
42, 114.40, 36.23, 5, 2
