@relation datosFict1

@attribute fecha date "dd/MM/yyyy"
@attribute c2 numeric
@attribute c3 numeric
@attribute c4{0,1,2,3,4,5}
@attribute c5{1,2}

@data
24/02/1965, 133.80, 38.31, 2, 2
13/06/1986, 150.07, 6.68, 4, 1
17/09/1965, 178.08, 11.69, 2, 2
28/08/1958, 165.25, 33.22, 4, 2
29/01/1958, 128.59, 18.99, 1, 2
13/02/1987, 140.96, 46.68, 0, 2
28/02/1985, 109.80, 51.77, 4, 1
31/05/1938, 135.30, 4.70, 0, 2
23/04/1962, 103.93, 13.84, 3, 2
21/12/1992, 172.66, 1.91, 0, 2
18/07/1949, 135.05, 53.30, 4, 2
16/04/1976, 90.15, 37.09, 5, 1
13/08/1977, 164.46, 8.67, 1, 2
15/10/1961, 128.09, 53.85, 4, 2
10/05/1936, 120.75, 51.85, 4, 2
03/04/1936, 159.93, 25.86, 4, 2
21/08/1957, 159.30, 39.97, 2, 1
24/06/1936, 83.68, 34.99, 0, 2
18/09/1963, 151.35, 45.00, 4, 2
16/11/1976, 146.73, 21.18, 4, 1
09/09/1994, 104.58, 57.47, 0, 2
12/10/1985, 180.82, 47.49, 4, 1
25/05/1944, 159.68, 52.15, 0, 2
12/11/1978, 223.12, 22.70, 5, 1
11/12/1955, 171.23, 30.51, 1, 2
22/10/1973, 113.28, 41.43, 3, 1
16/02/1963, 127.83, 32.85, 2, 2
27/02/1964, 77.03, 41.21, 3, 2
29/04/1974, 152.21, 37.75, 1, 2
17/09/1977, 189.31, 52.97, 0, 2
11/03/1982, 104.08, 8.96, 5, 1
19/01/1954, 144.66, 4.90, 0, 2
26/07/1930, 111.80, 48.23, 1, 2
26/07/1974, 101.90, 37.16, 4, 1
20/08/1988, 157.59, 38.97, 5, 1
30/01/1974, 108.64, 44.86, 4, 1
06/03/1958, 27.94, 9.90, 5, 2
09/05/1971, 126.96, 42.39, 1, 1
09/11/1970, 133.14, 49.64, 0, 1
02/11/1979, 199.06, 49.15, 4, 1
19/04/1945, 152.25, 53.06, 3, 1
13/07/1969, 114.19, 32.45, 2, 1
21/02/1973, 123.84, 57.24, 1, 2
16/07/1958, 124.36, 3.80, 1, 2
01/09/1947, 178.36, 3.91, 2, 2
04/03/1934, 77.22, 43.82, 5, 2
22/12/1977, 139.65, 3.03, 4, 1
25/06/1971, 137.30, 53.33, 3, 2
03/10/1944, 114.86, 58.84, 1, 2
31/05/1959, 117.45, 51.84, 2, 2
26/02/1969, 139.48, 30.15, 0, 2
12/09/1930, 123.46, 32.15, 2, 2
19/10/1947, 151.32, 46.67, 2, 2
26/01/1955, 196.36, 38.46, 0, 2
09/05/1957, 119.70, 50.48, 4, 2
25/06/1974, 144.72, 53.57, 2, 2
19/01/1960, 173.16, 49.81, 1, 2
05/02/1961, 123.39, 10.85, 3, 2
24/12/1980, 117.17, 35.44, 2, 2
14/03/1974, 60.20, 19.57, 4, 1
06/03/1978, 102.54, 47.18, 4, 1
07/11/1953, 62.03, 48.61, 3, 2
23/10/1972, 121.86, 4.77, 0, 2
21/07/1964, 182.12, 23.96, 4, 2
21/02/1967, 179.43, 54.37, 4, 2
20/04/1944, 139.48, 29.60, 1, 2
16/01/1934, 183.29, 6.66, 3, 2
14/11/1963, 88.05, 1.89, 3, 1
01/11/1981, 180.27, 21.96, 1, 2
05/06/1965, 147.90, 27.89, 0, 1
02/10/1960, 116.76, 10.23, 1, 2
17/01/1968, 108.61, 11.46, 3, 2
06/03/1936, 127.76, 0.28, 1, 2
22/04/1978, 146.18, 28.68, 2, 2
17/01/1957, 111.91, 49.31, 5, 2
12/07/1941, 94.44, 0.32, 4, 2
23/11/1948, 156.96, 13.39, 2, 2
12/06/1939, 102.38, 21.26, 4, 2
26/06/1973, 147.67, 48.27, 4, 1
13/04/1965, 168.48, 14.57, 2, 2
17/08/1939, 118.98, 35.86, 5, 2
11/05/1961, 159.68, 31.82, 4, 2
07/09/1976, 102.52, 2.89, 4, 1
28/04/1931, 196.16, 57.32, 1, 1
15/03/1955, 114.89, 1.12, 4, 2
08/10/1934, 201.04, 26.44, 2, 2
17/01/1944, 187.58, 12.50, 4, 2
24/05/1984, 99.06, 49.07, 4, 1
10/08/1985, 139.82, 23.10, 4, 1
17/03/1956, 115.79, 33.28, 4, 2
20/11/1992, 139.74, 54.54, 3, 1
10/02/1940, 114.44, 2.32, 0, 2
06/05/1950, 104.39, 4.11, 5, 2
18/10/1955, 120.54, 46.39, 0, 2
09/05/1993, 124.26, 25.55, 1, 2
03/05/1957, 112.27, 49.63, 5, 2
17/11/1977, 158.78, 48.91, 3, 1
22/01/1963, 110.45, 52.55, 4, 2
04/12/1960, 145.85, 23.14, 4, 2
05/05/1957, 69.91, 18.42, 0, 2
06/12/1993, 80.75, 9.60, 3, 1
08/12/1951, 149.37, 49.54, 4, 2
08/04/1956, 126.52, 54.51, 4, 2
11/11/1935, 85.72, 3.15, 3, 2
10/04/1951, 111.26, 21.35, 1, 2
17/11/1951, 114.41, 11.81, 2, 2
14/02/1983, 144.72, 57.41, 2, 2
02/05/1981, 77.46, 44.70, 3, 1
09/05/1958, 107.95, 10.03, 1, 2
24/04/1952, 152.74, 22.75, 4, 2
25/07/1962, 118.66, 17.79, 4, 2
28/08/1965, 135.42, 10.61, 3, 2
23/01/1966, 95.17, 8.30, 5, 2
29/11/1973, 133.02, 19.57, 5, 1
05/04/1984, 146.47, 52.86, 5, 1
06/05/1979, 123.29, 3.16, 3, 1
21/04/1944, 102.38, 43.73, 3, 2
29/04/1935, 123.58, 51.78, 1, 2
02/03/1985, 144.41, 24.27, 5, 1
28/07/1950, 179.43, 16.41, 1, 2
03/06/1992, 120.19, 55.72, 2, 2
17/08/1976, 178.82, 39.19, 4, 1
04/07/1967, 75.24, 29.85, 2, 2
21/06/1943, 130.13, 57.80, 4, 2
02/05/1944, 86.82, 50.94, 4, 2
04/08/1982, 174.15, 20.86, 5, 1
04/09/1930, 135.19, 18.79, 4, 2
12/06/1936, 123.84, 34.91, 2, 1
08/04/1969, 130.12, 56.04, 4, 2
18/08/1980, 196.65, 7.38, 2, 2
09/01/1949, 140.33, 44.64, 1, 2
17/01/1931, 152.74, 30.34, 1, 2
28/07/1993, 113.12, 7.75, 5, 1
06/12/1952, 84.19, 57.42, 1, 2
04/02/1936, 139.94, 7.90, 3, 2
27/05/1949, 132.86, 22.59, 3, 2
11/11/1938, 162.41, 1.09, 3, 2
28/04/1939, 96.90, 50.26, 3, 2
22/02/1950, 138.63, 18.61, 1, 2
06/04/1992, 108.10, 44.58, 1, 2
23/05/1954, 205.97, 3.70, 0, 2
20/06/1954, 148.70, 35.14, 3, 2
19/09/1965, 128.51, 49.85, 2, 2
11/01/1939, 215.67, 38.20, 0, 2
24/02/1961, 119.74, 22.90, 3, 2
15/12/1967, 68.28, 45.40, 1, 2
20/07/1971, 134.31, 4.71, 4, 2
07/10/1973, 102.29, 6.20, 2, 2
22/03/1945, 156.73, 20.44, 4, 2
31/10/1963, 76.06, 42.53, 4, 2
23/03/1936, 201.41, 41.50, 1, 2
13/10/1994, 138.89, 35.93, 1, 2
04/06/1948, 125.65, 40.48, 3, 2
16/03/1990, 39.45, 51.35, 2, 2
01/06/1937, 148.55, 30.37, 1, 2
03/02/1986, 152.56, 15.44, 1, 1
08/02/1967, 96.47, 33.85, 5, 2
18/08/1938, 131.24, 17.24, 3, 2
21/08/1954, 97.94, 54.38, 3, 2
22/11/1990, 154.10, 25.92, 1, 2
16/09/1949, 203.75, 55.11, 4, 2
08/08/1954, 103.12, 15.33, 3, 2
07/08/1945, 78.81, 44.17, 0, 2
14/02/1993, 160.56, 36.82, 5, 2
18/11/1983, 67.25, 2.86, 3, 1
07/09/1976, 130.92, 5.75, 1, 2
07/04/1991, 167.74, 52.19, 3, 1
03/07/1935, 165.89, 20.42, 1, 2
08/01/1950, 110.27, 14.85, 4, 2
30/09/1940, 162.35, 55.34, 4, 2
07/10/1957, 115.46, 17.29, 3, 2
09/10/1989, 128.20, 43.82, 0, 1
12/03/1942, 169.03, 10.32, 3, 2
14/02/1941, 95.71, 31.58, 2, 2
29/08/1941, 137.72, 14.12, 4, 2
15/11/1969, 108.41, 37.19, 3, 2
10/08/1953, 123.66, 7.51, 4, 2
29/07/1945, 157.93, 18.74, 1, 2
02/10/1947, 147.72, 26.27, 4, 2
21/04/1961, 150.74, 49.10, 4, 2
18/12/1933, 152.22, 49.33, 3, 2
20/08/1987, 87.60, 55.34, 0, 2
04/08/1940, 179.42, 21.12, 5, 2
11/07/1948, 163.70, 34.59, 1, 2
15/11/1958, 152.45, 19.06, 0, 2
23/03/1943, 105.62, 6.46, 2, 2
04/05/1967, 230.59, 49.99, 0, 2
23/04/1973, 132.13, 23.01, 5, 1
07/03/1931, 156.41, 47.93, 4, 2
29/11/1970, 59.64, 27.19, 2, 2
21/03/1944, 107.69, 17.34, 4, 2
12/04/1940, 148.59, 50.52, 5, 2
27/04/1951, 193.49, 25.20, 1, 2
08/04/1987, 105.56, 9.87, 0, 2
17/05/1957, 138.19, 32.47, 5, 2
13/01/1947, 158.79, 25.82, 3, 1
12/11/1931, 109.16, 56.52, 4, 2
08/04/1953, 64.10, 13.47, 4, 2
22/09/1974, 93.18, 34.68, 0, 2
28/06/1979, 162.87, 19.80, 1, 2
16/02/1949, 158.67, 29.66, 3, 2
02/03/1983, 99.93, 23.20, 4, 1
28/08/1971, 99.34, 58.74, 2, 2
04/05/1974, 103.79, 49.50, 1, 2
31/10/1972, 126.86, 0.65, 3, 2
04/11/1937, 140.90, 9.58, 1, 2
18/11/1941, 179.06, 3.15, 0, 2
28/11/1952, 132.02, 46.66, 2, 2
14/04/1994, 91.09, 10.32, 1, 1
02/04/1981, 155.16, 22.82, 1, 2
30/09/1989, 203.28, 25.93, 1, 2
05/11/1944, 132.59, 3.17, 2, 2
02/07/1932, 115.01, 10.03, 4, 2
02/11/1936, 119.17, 44.36, 1, 2
23/10/1935, 179.06, 34.99, 5, 2
17/11/1962, 115.31, 29.43, 5, 2
16/08/1963, 159.62, 18.02, 3, 2
15/09/1984, 160.15, 29.32, 3, 1
22/03/1939, 128.00, 15.34, 4, 2
21/01/1950, 166.12, 4.99, 1, 2
28/06/1947, 167.93, 21.58, 4, 2
03/10/1983, 163.59, 54.11, 4, 1
27/12/1958, 153.25, 20.74, 0, 2
10/12/1960, 203.03, 26.76, 1, 2
02/06/1954, 140.39, 52.86, 4, 2
15/02/1983, 93.84, 48.03, 0, 2
16/01/1952, 145.02, 11.73, 3, 2
08/04/1979, 75.28, 54.75, 4, 1
13/07/1976, 81.74, 37.23, 4, 1
06/04/1958, 147.90, 27.53, 1, 2
16/08/1973, 154.19, 53.64, 4, 1




