@relation datosFict1

@attribute age integer
@attribute c2 numeric
@attribute c3 numeric
@attribute selector1{0,1,2,3,4,5}
@attribute selector2{1,2}

@data
40, 180.27, 21.96, 1, 2
56, 147.90, 27.89, 0, 1
61, 116.76, 10.23, 1, 2
54, 108.61, 11.46, 3, 2
86, 127.76, 0.28, 1, 2
43, 146.18, 28.68, 2, 2
65, 111.91, 49.31, 5, 2
80, 94.44, 0.32, 4, 2
73, 156.96, 13.39, 2, 2
82, 102.38, 21.26, 4, 2
48, 147.67, 48.27, 4, 1
57, 168.48, 14.57, 2, 2
82, 118.98, 35.86, 5, 2
60, 159.68, 31.82, 4, 2
45, 102.52, 2.89, 4, 1
90, 196.16, 57.32, 1, 1
67, 114.89, 1.12, 4, 2
87, 201.04, 26.44, 2, 2
78, 187.58, 12.50, 4, 2
37, 99.06, 49.07, 4, 1
36, 139.82, 23.10, 4, 1
66, 115.79, 33.28, 4, 2
29, 139.74, 54.54, 3, 1
82, 114.44, 2.32, 0, 2
71, 104.39, 4.11, 5, 2
66, 120.54, 46.39, 0, 2
28, 124.26, 25.55, 1, 2
64, 112.27, 49.63, 5, 2
44, 158.78, 48.91, 3, 1
59, 110.45, 52.55, 4, 2
61, 145.85, 23.14, 4, 2
64, 69.91, 18.42, 0, 2
28, 80.75, 9.60, 3, 1
70, 149.37, 49.54, 4, 2
66, 126.52, 54.51, 4, 2
86, 85.72, 3.15, 3, 2
71, 111.26, 21.35, 1, 2
70, 114.41, 11.81, 2, 2
39, 144.72, 57.41, 2, 2
40, 77.46, 44.70, 3, 1
63, 107.95, 10.03, 1, 2
69, 152.74, 22.75, 4, 2
59, 118.66, 17.79, 4, 2
56, 135.42, 10.61, 3, 2
56, 95.17, 8.30, 5, 2
48, 133.02, 19.57, 5, 1
38, 146.47, 52.86, 5, 1
42, 123.29, 3.16, 3, 1
78, 102.38, 43.73, 3, 2
86, 123.58, 51.78, 1, 2
37, 144.41, 24.27, 5, 1
71, 179.43, 16.41, 1, 2
29, 120.19, 55.72, 2, 2
45, 178.82, 39.19, 4, 1
54, 75.24, 29.85, 2, 2
78, 130.13, 57.80, 4, 2
77, 86.82, 50.94, 4, 2
39, 174.15, 20.86, 5, 1
91, 135.19, 18.79, 4, 2
85, 123.84, 34.91, 2, 1
53, 130.12, 56.04, 4, 2
41, 196.65, 7.38, 2, 2
73, 140.33, 44.64, 1, 2
91, 152.74, 30.34, 1, 2
28, 113.12, 7.75, 5, 1
69, 84.19, 57.42, 1, 2
86, 139.94, 7.90, 3, 2
72, 132.86, 22.59, 3, 2
83, 162.41, 1.09, 3, 2
82, 96.90, 50.26, 3, 2
72, 138.63, 18.61, 1, 2
30, 108.10, 44.58, 1, 2
67, 205.97, 3.70, 0, 2
67, 148.70, 35.14, 3, 2
56, 128.51, 49.85, 2, 2
83, 215.67, 38.20, 0, 2
61, 119.74, 22.90, 3, 2
54, 68.28, 45.40, 1, 2
50, 134.31, 4.71, 4, 2
48, 102.29, 6.20, 2, 2
77, 156.73, 20.44, 4, 2
58, 76.06, 42.53, 4, 2
86, 201.41, 41.50, 1, 2
27, 138.89, 35.93, 1, 2
73, 125.65, 40.48, 3, 2
32, 39.45, 51.35, 2, 2
84, 148.55, 30.37, 1, 2
36, 152.56, 15.44, 1, 1
55, 96.47, 33.85, 5, 2
83, 131.24, 17.24, 3, 2
67, 97.94, 54.38, 3, 2
31, 154.10, 25.92, 1, 2
72, 203.75, 55.11, 4, 2
67, 103.12, 15.33, 3, 2
76, 78.81, 44.17, 0, 2
29, 160.56, 36.82, 5, 2
38, 67.25, 2.86, 3, 1
45, 130.92, 5.75, 1, 2
31, 167.74, 52.19, 3, 1
86, 165.89, 20.42, 1, 2
72, 110.27, 14.85, 4, 2
81, 162.35, 55.34, 4, 2
64, 115.46, 17.29, 3, 2
32, 128.20, 43.82, 0, 1
80, 169.03, 10.32, 3, 2
81, 95.71, 31.58, 2, 2
80, 137.72, 14.12, 4, 2
52, 108.41, 37.19, 3, 2
68, 123.66, 7.51, 4, 2
76, 157.93, 18.74, 1, 2
74, 147.72, 26.27, 4, 2
61, 150.74, 49.10, 4, 2
88, 152.22, 49.33, 3, 2
34, 87.60, 55.34, 0, 2
81, 179.42, 21.12, 5, 2
73, 163.70, 34.59, 1, 2
63, 152.45, 19.06, 0, 2
79, 105.62, 6.46, 2, 2
54, 230.59, 49.99, 0, 2
48, 132.13, 23.01, 5, 1
91, 156.41, 47.93, 4, 2
51, 59.64, 27.19, 2, 2
78, 107.69, 17.34, 4, 2
82, 148.59, 50.52, 5, 2
70, 193.49, 25.20, 1, 2
35, 105.56, 9.87, 0, 2
64, 138.19, 32.47, 5, 2
75, 158.79, 25.82, 3, 1
90, 109.16, 56.52, 4, 2
69, 64.10, 13.47, 4, 2
47, 93.18, 34.68, 0, 2
42, 162.87, 19.80, 1, 2
73, 158.67, 29.66, 3, 2
39, 99.93, 23.20, 4, 1
50, 99.34, 58.74, 2, 2
47, 103.79, 49.50, 1, 2
49, 126.86, 0.65, 3, 2
84, 140.90, 9.58, 1, 2
80, 179.06, 3.15, 0, 2
69, 132.02, 46.66, 2, 2
28, 91.09, 10.32, 1, 1
41, 155.16, 22.82, 1, 2
32, 203.28, 25.93, 1, 2
77, 132.59, 3.17, 2, 2
89, 115.01, 10.03, 4, 2
85, 119.17, 44.36, 1, 2
86, 179.06, 34.99, 5, 2
59, 115.31, 29.43, 5, 2
58, 159.62, 18.02, 3, 2
37, 160.15, 29.32, 3, 1
83, 128.00, 15.34, 4, 2
72, 166.12, 4.99, 1, 2
74, 167.93, 21.58, 4, 2
38, 163.59, 54.11, 4, 1
63, 153.25, 20.74, 0, 2
61, 203.03, 26.76, 1, 2
67, 140.39, 52.86, 4, 2
39, 93.84, 48.03, 0, 2
70, 145.02, 11.73, 3, 2
43, 75.28, 54.75, 4, 1
45, 81.74, 37.23, 4, 1
64, 147.90, 27.53, 1, 2
48, 154.19, 53.64, 4, 1
