@relation datosFict2

@attribute fecha date "dd/MM/yyyy"
@attribute c2 numeric
@attribute c3 numeric
@attribute selector1{0,1,2,3,4,5}
@attribute selector2{1,2}

@data
04/05/1995, 159.59, 16.44, 4, 1
06/03/2004, 187.27, 6.99, 4, 1
03/10/1972, 180.49, 3.58, 3, 2
02/01/1948, 156.46, 48.95, 4, 2
25/06/1972, 97.33, 19.63, 3, 2
18/05/1971, 210.26, 26.23, 1, 2
31/10/1955, 134.34, 54.69, 3, 2
09/01/1949, 95.62, 4.43, 2, 2
05/11/1956, 83.43, 2.40, 2, 2
25/06/1978, 116.95, 15.44, 2, 2
23/04/1997, 127.56, 21.52, 2, 2
05/08/2004, 148.03, 45.60, 5, 1
23/07/1951, 160.37, 12.28, 2, 2
13/05/1983, 130.91, 25.66, 3, 1
21/08/1993, 227.84, 38.11, 2, 1
29/10/1991, 86.30, 15.45, 5, 2
30/08/1947, 129.65, 21.53, 3, 2
29/09/1982, 146.93, 23.58, 2, 2
19/10/1995, 139.73, 47.08, 1, 2
26/02/1991, 210.25, 7.12, 4, 1
13/02/1957, 107.92, 22.66, 2, 2
26/12/1959, 133.85, 24.37, 4, 2
22/07/1953, 139.90, 56.60, 1, 2
23/06/2006, 84.02, 12.03, 4, 1
26/10/1969, 134.06, 52.89, 2, 2
01/07/1948, 111.01, 1.15, 2, 2
04/04/1989, 170.78, 32.41, 2, 2
07/01/1988, 174.85, 37.98, 2, 2
18/03/1984, 141.86, 8.41, 1, 2
21/03/1948, 196.69, 30.08, 2, 2
31/07/2009, 83.29, 55.44, 1, 2
12/04/1976, 172.52, 40.49, 5, 2
29/06/1989, 145.58, 42.65, 1, 2
21/05/1998, 87.15, 33.76, 3, 1
31/01/2001, 92.34, 39.60, 1, 2
25/08/2002, 203.50, 48.63, 0, 2
16/05/1998, 111.78, 54.68, 4, 1
25/05/1999, 145.17, 10.59, 3, 1
06/03/1997, 156.12, 49.34, 3, 1
14/10/1979, 125.47, 42.17, 1, 2
10/02/1958, 134.80, 57.34, 1, 2
17/05/2003, 119.34, 28.73, 3, 2
24/07/1953, 164.80, 27.22, 0, 2
14/03/1947, 110.54, 14.50, 2, 2
19/05/1966, 175.01, 10.62, 5, 1
22/05/1949, 136.12, 19.46, 1, 1
09/12/1977, 135.18, 34.86, 4, 2
13/06/2000, 116.17, 46.06, 2, 2
08/07/2006, 135.86, 1.45, 4, 1
26/08/2007, 108.03, 2.22, 1, 2
14/05/2006, 139.26, 43.38, 3, 1
29/09/1968, 142.83, 6.20, 3, 2
14/04/2005, 142.78, 3.47, 4, 1
08/12/1970, 98.05, 18.47, 2, 2
12/07/1972, 117.75, 22.23, 5, 2
08/04/1951, 76.09, 0.76, 0, 2
19/01/1964, 88.70, 53.69, 2, 2
26/02/2009, 129.23, 3.48, 4, 1
24/03/1963, 136.96, 40.34, 5, 2
30/10/1970, 184.63, 11.67, 3, 2
02/09/2002, 89.75, 41.17, 4, 1
13/06/1991, 102.82, 24.76, 5, 1
16/07/1985, 187.11, 10.93, 1, 1
08/10/1967, 146.88, 52.40, 5, 2
21/07/1980, 165.33, 43.89, 4, 2
09/05/1973, 176.68, 30.61, 2, 2
10/10/1974, 157.17, 47.63, 5, 2
08/09/1978, 139.10, 20.73, 1, 1
16/05/1951, 139.49, 57.54, 5, 2
04/08/1994, 141.75, 47.74, 4, 1
29/09/1952, 149.16, 33.46, 3, 2
11/09/1980, 168.36, 30.17, 2, 2
31/10/1961, 146.40, 34.65, 2, 2
23/04/1947, 148.48, 26.76, 4, 2
07/02/1958, 87.44, 11.91, 1, 2
08/10/1971, 116.52, 9.07, 3, 2
14/07/1955, 97.35, 47.08, 4, 2
01/09/1982, 156.35, 52.19, 2, 2
22/06/1974, 165.96, 31.01, 3, 2
29/12/1998, 161.58, 38.61, 2, 2
28/03/1987, 177.44, 36.17, 1, 2
05/09/1989, 125.40, 15.08, 4, 1
18/01/1950, 168.34, 33.62, 5, 2
24/07/1992, 169.05, 37.80, 5, 2
02/10/2004, 146.18, 51.25, 2, 2
15/10/1955, 144.77, 49.35, 0, 2
25/12/1984, 132.53, 17.98, 2, 2
18/12/2003, 96.02, 17.09, 2, 2
05/09/1959, 149.67, 35.22, 0, 1
08/06/1981, 93.88, 41.00, 3, 1
19/12/1993, 150.76, 37.02, 3, 1
07/12/1993, 124.31, 3.46, 4, 1
18/03/1995, 139.89, 38.98, 1, 1
21/09/1958, 158.24, 35.16, 5, 2
31/10/1961, 131.30, 22.63, 2, 2
28/04/1947, 124.59, 35.63, 2, 2
10/06/1996, 130.15, 44.81, 0, 2
26/02/1979, 128.24, 11.13, 1, 2
29/04/2004, 175.73, 3.14, 2, 2
24/09/1960, 168.38, 5.19, 2, 2
14/09/2003, 133.42, 23.29, 1, 2
24/09/1984, 164.82, 21.89, 2, 2
09/07/1980, 122.21, 20.29, 2, 2
28/01/1946, 185.86, 32.70, 3, 2
27/04/1963, 149.11, 25.16, 0, 2
03/06/1956, 112.51, 7.97, 3, 2
29/07/1975, 130.81, 3.54, 4, 2
02/03/1993, 103.69, 6.93, 4, 1
13/08/1995, 170.88, 25.86, 4, 1
14/08/1972, 119.47, 38.21, 5, 2
13/09/1976, 76.29, 36.99, 2, 2
02/03/1971, 174.18, 18.43, 4, 2
09/10/1997, 82.41, 41.06, 2, 2
25/11/1957, 120.15, 23.67, 5, 1
25/02/1958, 152.56, 2.40, 3, 2
25/06/1962, 172.05, 23.11, 4, 2
29/09/1948, 86.81, 16.78, 1, 2
25/12/1947, 172.59, 16.05, 5, 2
01/07/1992, 163.78, 36.91, 3, 1
09/07/1994, 86.23, 25.75, 0, 2
21/04/2007, 96.39, 16.67, 3, 1
20/11/1970, 133.15, 34.67, 0, 2
13/05/1959, 85.90, 28.78, 5, 2
27/08/1988, 138.79, 6.40, 3, 1
03/10/1992, 144.83, 57.51, 1, 2
21/10/2005, 80.68, 22.67, 4, 1
02/02/2001, 127.82, 34.63, 2, 2
19/09/1971, 181.36, 13.69, 4, 2
25/08/1965, 139.82, 21.41, 3, 2
22/03/1983, 185.48, 6.40, 4, 2
30/01/1958, 200.61, 0.04, 3, 2
29/02/1968, 117.69, 5.76, 0, 2
22/06/1960, 134.21, 35.25, 3, 2
14/05/1971, 93.29, 52.55, 3, 2
04/04/2008, 127.57, 26.43, 4, 1
23/04/1947, 149.63, 40.62, 0, 2
31/12/1981, 166.84, 38.22, 3, 2
07/07/1952, 118.43, 10.86, 2, 2
10/12/2000, 125.59, 48.87, 2, 2
22/03/1949, 108.30, 51.91, 2, 2
20/11/2000, 104.65, 57.99, 1, 2
25/09/1981, 103.85, 1.43, 5, 2
06/06/1949, 91.15, 25.98, 1, 2
26/05/1955, 125.66, 19.98, 2, 2
07/10/2003, 146.62, 12.78, 5, 1
19/04/1960, 127.90, 57.84, 4, 2
10/02/1969, 159.78, 5.43, 4, 2
02/02/1984, 130.24, 21.98, 3, 2
10/06/1994, 152.20, 16.03, 1, 2
23/02/1996, 23.30, 9.89, 5, 1
02/08/1954, 180.24, 8.52, 0, 2
25/08/1951, 125.12, 9.27, 1, 2
17/10/1994, 135.79, 12.22, 1, 2
12/03/1992, 106.74, 44.18, 2, 2
25/04/1992, 163.06, 45.50, 4, 1
12/03/2003, 205.06, 1.86, 4, 1
03/08/1951, 72.19, 55.96, 2, 2
06/08/1977, 178.30, 22.51, 3, 2
25/05/1982, 140.02, 43.75, 5, 2
04/06/1951, 208.68, 34.09, 0, 2
04/12/1981, 102.16, 10.94, 1, 2
29/08/1976, 128.56, 54.75, 1, 2
06/04/2006, 128.53, 0.88, 4, 1
08/03/1976, 129.89, 3.64, 4, 2
28/05/1949, 162.42, 8.50, 2, 1
21/09/1986, 195.43, 18.59, 1, 2
10/08/1954, 129.39, 51.68, 4, 2
27/05/2006, 135.00, 52.73, 0, 2
01/07/1978, 110.76, 33.30, 2, 2
10/04/1996, 112.41, 26.55, 1, 2
04/02/1965, 131.34, 10.22, 3, 2
16/03/1993, 125.70, 56.50, 1, 2
17/08/2004, 118.00, 2.59, 5, 1
10/02/1987, 60.33, 52.52, 1, 2
23/02/1956, 84.87, 27.22, 0, 2
26/01/2006, 98.55, 48.07, 4, 1
18/11/1944, 80.05, 6.13, 4, 2
06/08/1960, 120.76, 51.54, 0, 2
22/06/1998, 124.90, 41.20, 0, 2
27/01/1950, 98.11, 49.43, 2, 2
16/06/1948, 168.20, 36.26, 1, 2
22/12/1956, 100.54, 23.04, 2, 2
02/05/1956, 110.69, 5.90, 3, 2
18/04/1984, 114.65, 0.67, 4, 1
29/10/1950, 70.08, 48.65, 3, 2
11/04/1992, 164.33, 45.90, 1, 2
06/05/1976, 141.79, 2.26, 3, 2
04/08/2007, 57.90, 4.13, 3, 1
02/05/2000, 188.59, 13.94, 2, 1
05/04/1987, 137.67, 39.64, 2, 2
20/09/1959, 101.07, 50.70, 0, 2
10/11/1986, 130.67, 30.79, 4, 2
17/03/1965, 147.06, 24.59, 1, 2
08/07/2001, 162.44, 40.37, 0, 2
17/01/1985, 179.44, 12.71, 1, 2
03/12/1988, 134.92, 22.72, 1, 2
15/09/1972, 119.67, 1.16, 3, 2
24/11/1978, 65.37, 13.46, 1, 1
03/02/2007, 86.45, 20.38, 0, 2
12/05/1988, 146.60, 31.24, 2, 2
23/05/1967, 91.88, 7.64, 3, 2
15/04/1976, 130.00, 17.42, 3, 1
09/01/1992, 131.05, 21.08, 1, 2
29/08/2002, 142.33, 12.68, 4, 1
20/04/2005, 126.39, 37.87, 2, 2
02/12/1993, 164.56, 26.07, 3, 1
25/05/1983, 157.78, 23.94, 0, 2
13/06/1948, 140.92, 41.59, 5, 2
23/01/1997, 128.38, 56.81, 0, 2
04/02/1997, 115.09, 7.37, 2, 1
20/03/2008, 137.48, 57.06, 5, 1
09/02/1956, 164.31, 15.60, 3, 2
28/11/1982, 132.87, 24.23, 4, 2
22/05/1958, 98.18, 25.25, 0, 2
28/08/1955, 93.79, 16.22, 2, 2
22/09/1987, 112.58, 25.79, 4, 1
25/11/1953, 134.07, 57.84, 1, 2
14/08/2001, 117.85, 4.36, 4, 1
27/03/2001, 140.92, 41.44, 4, 1
06/06/2003, 102.53, 7.02, 1, 2
02/04/2002, 147.68, 48.93, 1, 2
05/05/1995, 132.13, 37.00, 2, 2
23/06/1996, 190.36, 25.69, 1, 1
05/09/1992, 95.94, 22.81, 4, 1
07/08/1986, 70.71, 54.78, 3, 2
02/12/1998, 156.86, 16.22, 1, 2
30/05/1998, 122.23, 51.46, 0, 2
04/01/1998, 76.15, 24.34, 4, 1
21/06/2002, 141.81, 5.54, 1, 1
19/10/1957, 96.23, 27.12, 1, 2
18/06/2008, 159.19, 38.30, 2, 2
23/10/1965, 160.13, 27.59, 2, 2
21/12/1945, 124.87, 7.56, 1, 2
26/09/1961, 109.22, 37.73, 2, 2
30/10/1980, 82.94, 31.45, 4, 2
04/10/1960, 130.97, 42.38, 3, 2
23/04/1969, 131.24, 30.19, 5, 2
01/04/1992, 122.92, 1.71, 4, 2
23/05/1960, 103.08, 41.47, 3, 2
17/08/1947, 127.82, 16.72, 3, 2
14/04/2001, 181.35, 4.90, 2, 2
20/07/1970, 86.95, 57.95, 2, 2
12/10/1961, 134.45, 23.34, 5, 2
18/11/1980, 112.21, 37.04, 5, 2
26/07/1950, 146.68, 18.65, 2, 2
06/07/1980, 142.76, 42.47, 1, 2
10/09/1977, 193.18, 6.08, 1, 2
11/05/1977, 113.66, 13.39, 3, 2
20/05/1987, 135.63, 49.50, 2, 2
17/01/1945, 106.12, 58.42, 3, 2
01/02/1998, 158.30, 39.86, 0, 2
10/06/1964, 104.02, 16.51, 2, 2
01/07/1981, 170.36, 19.91, 3, 2
15/08/1964, 158.57, 23.89, 1, 2
20/12/1996, 171.89, 50.82, 5, 1
28/08/1999, 117.42, 20.25, 2, 2
24/08/1951, 137.17, 14.94, 1, 2
03/04/1977, 173.56, 57.94, 5, 2
19/05/1956, 133.61, 55.98, 0, 2
24/07/1964, 121.41, 5.21, 2, 2
08/02/1970, 109.19, 21.95, 4, 2
11/10/1998, 103.09, 27.10, 2, 2
27/12/1985, 159.13, 55.76, 0, 2
20/01/1997, 42.23, 7.51, 4, 1
29/04/1963, 119.02, 19.17, 1, 2
13/11/2006, 230.17, 31.67, 2, 2
23/06/1967, 144.58, 7.84, 2, 1
17/04/1966, 174.23, 28.98, 1, 2
02/07/1970, 70.50, 34.45, 0, 2
20/11/1964, 90.75, 5.59, 3, 2
07/10/1978, 120.11, 22.25, 4, 2
18/11/1945, 107.30, 51.53, 1, 2
30/05/2003, 137.84, 12.01, 0, 2
25/04/1973, 179.98, 6.13, 3, 2
25/05/1980, 149.80, 23.68, 2, 2
16/10/2001, 136.06, 17.20, 2, 2
25/09/1948, 160.62, 18.32, 4, 2
24/12/1970, 130.91, 13.28, 2, 2
19/06/1947, 140.62, 25.14, 5, 2
05/12/1979, 126.01, 41.39, 2, 2
05/06/1963, 181.71, 52.19, 0, 1
24/10/1990, 194.83, 20.15, 1, 2
19/06/1954, 134.83, 14.17, 5, 2
05/06/1989, 152.71, 56.11, 1, 1
12/06/2001, 187.83, 53.35, 2, 2
23/05/1976, 137.21, 40.38, 3, 2
17/03/1974, 99.05, 28.59, 5, 2
27/04/1983, 128.33, 19.00, 4, 2
20/07/1993, 103.19, 24.04, 1, 2
23/01/1996, 95.88, 24.14, 1, 2
13/07/1957, 123.32, 39.03, 1, 2
29/04/1961, 106.89, 49.01, 1, 2
25/10/2005, 140.15, 7.47, 1, 2
20/10/1953, 104.88, 5.67, 4, 2
12/05/1954, 130.65, 4.82, 3, 2
02/05/1989, 117.06, 17.58, 2, 1
19/12/1971, 137.39, 43.21, 1, 2
09/01/1974, 124.03, 20.96, 3, 2
10/02/1961, 136.49, 43.82, 4, 2
19/01/1956, 96.85, 2.25, 2, 2
08/07/1995, 132.60, 23.83, 5, 1
14/11/1962, 150.38, 37.86, 2, 1
06/09/1951, 76.14, 26.89, 4, 2
18/03/1986, 83.48, 27.75, 0, 2
21/02/1975, 114.72, 31.34, 0, 1
03/02/2001, 156.01, 56.00, 0, 2
23/11/1992, 171.01, 27.66, 5, 1
20/01/2007, 190.06, 32.77, 3, 1
20/09/1950, 172.40, 37.57, 0, 2
23/12/1968, 53.10, 6.82, 0, 2
16/01/2005, 108.97, 34.84, 5, 1
08/08/2009, 109.92, 55.12, 5, 1
03/07/1960, 143.35, 50.17, 4, 2
29/08/1974, 102.48, 11.79, 2, 2
23/11/1976, 129.15, 39.59, 1, 2
25/06/1981, 129.04, 32.95, 0, 2
04/09/2005, 130.51, 56.53, 0, 2
29/04/2004, 122.41, 2.82, 1, 2
13/08/1997, 126.71, 18.80, 0, 2
24/01/1958, 153.42, 58.05, 5, 2
22/11/1964, 115.57, 44.47, 1, 2
06/04/1955, 145.61, 12.89, 1, 2
16/08/1953, 140.66, 22.98, 0, 2
22/05/2000, 94.98, 35.23, 5, 1
07/09/1980, 103.00, 27.01, 0, 2
11/09/2005, 136.80, 29.51, 4, 1
05/06/1983, 165.20, 29.05, 1, 2
03/10/1949, 141.03, 10.05, 4, 2
19/10/1987, 136.76, 3.71, 1, 2
30/07/2001, 141.00, 6.87, 1, 2
09/05/2007, 155.96, 57.53, 2, 2
24/05/1971, 107.90, 58.83, 3, 2
31/07/1973, 178.05, 30.87, 5, 1
10/10/1983, 107.10, 44.73, 2, 2
09/03/2007, 151.45, 31.79, 4, 1
23/07/1954, 125.47, 6.03, 4, 2
08/04/1967, 145.24, 34.36, 4, 2
30/06/1961, 96.97, 31.19, 2, 2
20/10/2007, 163.89, 35.13, 2, 2
25/12/2003, 71.23, 22.20, 2, 2
28/04/1990, 143.66, 20.06, 4, 1
25/12/1982, 176.45, 48.16, 2, 2
01/05/1979, 126.13, 32.40, 3, 2
21/04/1992, 136.79, 15.34, 1, 2
06/09/1959, 169.34, 11.53, 2, 2
20/10/1995, 163.01, 58.67, 3, 2
24/07/1971, 124.19, 5.23, 3, 2
14/12/2005, 120.58, 0.14, 5, 1
17/05/2008, 119.60, 23.10, 3, 1
28/04/1987, 171.28, 55.40, 1, 2
19/11/1979, 166.15, 5.06, 2, 2
06/07/1957, 176.21, 2.10, 0, 2
25/01/1968, 120.30, 9.63, 0, 2
30/10/1997, 155.54, 43.20, 4, 1
14/03/1991, 97.35, 31.05, 1, 2
03/10/1979, 36.32, 15.25, 1, 2
23/09/1948, 137.79, 56.74, 4, 2
13/11/1972, 107.48, 29.17, 1, 2
20/02/1968, 84.38, 10.60, 2, 2
30/03/2000, 147.06, 49.28, 4, 1
11/10/1946, 167.11, 12.31, 4, 1
08/03/1965, 135.60, 28.88, 2, 2
12/12/1966, 91.78, 38.12, 1, 2
20/08/1948, 146.03, 58.56, 2, 1
06/04/1982, 120.68, 10.86, 5, 2
21/01/1965, 104.20, 38.11, 4, 2
10/01/1968, 187.23, 16.51, 2, 2
12/01/1989, 147.88, 43.15, 2, 2
11/12/1973, 106.96, 56.24, 2, 2
23/02/1972, 172.59, 49.53, 2, 2
16/06/1977, 157.70, 48.05, 0, 2
07/05/1990, 128.54, 57.77, 4, 1
22/11/1950, 156.70, 5.64, 1, 2
02/03/1994, 106.26, 43.86, 2, 2
14/08/1972, 166.61, 19.03, 4, 2
01/12/1961, 102.61, 54.59, 2, 2
09/06/1980, 67.42, 9.19, 3, 2
09/03/1963, 110.54, 7.77, 4, 2
01/08/1978, 97.17, 35.66, 3, 2
14/10/1989, 111.93, 3.78, 3, 1
11/05/1965, 135.82, 28.69, 0, 2
08/12/1967, 211.91, 16.12, 1, 2
27/05/1999, 173.16, 51.17, 3, 1
24/12/1996, 132.20, 37.58, 4, 1
01/05/1945, 141.08, 17.79, 0, 2
29/08/1971, 116.86, 15.02, 4, 2
12/01/1961, 84.76, 9.30, 1, 2
21/01/1962, 124.09, 23.01, 4, 2
08/09/1952, 130.92, 22.98, 2, 2
25/06/1990, 162.80, 55.95, 3, 1
21/01/1978, 144.36, 16.09, 2, 2
12/07/1953, 129.91, 0.57, 2, 2
30/04/1950, 126.05, 23.30, 3, 2
06/11/1986, 113.06, 41.29, 2, 2
04/08/2007, 176.28, 1.36, 2, 2
21/05/1965, 134.04, 25.50, 5, 2
22/11/1956, 124.13, 0.42, 1, 2
17/04/1958, 117.03, 42.78, 2, 2
07/02/1971, 153.84, 21.25, 4, 2
06/11/1991, 212.94, 7.73, 2, 2
12/06/2000, 102.58, 43.57, 4, 1
12/01/1951, 168.93, 20.48, 3, 2
05/04/2009, 162.11, 16.19, 3, 1
13/04/1952, 103.48, 41.73, 1, 1
08/11/1961, 138.48, 56.54, 1, 2
10/01/1948, 109.64, 12.40, 2, 2
14/12/2000, 133.86, 23.99, 3, 2
17/12/1995, 174.64, 15.57, 3, 1
14/03/1947, 152.70, 40.26, 2, 2
16/07/2006, 133.80, 14.02, 0, 2
22/03/1955, 81.93, 22.51, 4, 2
27/06/1980, 142.91, 50.21, 2, 2
29/06/1985, 114.40, 36.23, 5, 2




